Survey_Year,Age,Gender,Country,City_Size,Depression_Prevalence,Anxiety_Prevalence,Suicide_Rate,Substance_Use,Loneliness_Score,Overall_Mental_Health_Score,Internet_Usage_Hours_Per_Day,Social_Media_Usage,Screen_Time_Hours_Per_Day,Annual_Income,Education_Level,Employment_Status,Work_Life_Balance_Score,Family_Support_Score,Social_Support_Score,Physical_Activity_Level,Sleep_Quality_Score,Self_Reported_Challenges,Coping_Strategies,Internet_Impact_Description,Work_Stress_Factors,Family_Support_Description,Social_Media_Impact,Sleep_Quality_Factors,Loneliness_Feelings
2001,57,Female,Australia,Suburban,0.9470402781443592,0.7475662341798232,11.173467334795951,0.706475726,9.4470003870263,8.360532180048956,8.501058734252016,None,11.950109130058449,92674.92242,Master’s,Student,1,1,1,Moderate,3,fear of missing out,family time,overwhelmed by information,deadlines,distant,connected,social media,isolated
1964,56,Female,India,Urban,0.5048748150953071,0.5177881704805695,25.715587367953095,0.031586145,6.05789728604976,1.3093637053346174,0.0,None,0.0,97390.62218,High School,Unemployed,9,4,9,Moderate,4,overwhelmed,hobbies,informed,long hours,understanding,positive influence,diet,not understood
2021,35,Non-binary,United States,Rural,0.8871065125186705,0.6576169493263143,20.815083325051923,0.936212246,9.943197232326936,7.80531142740839,8.102730408074999,None,8.894872787575972,55260.26059,Bachelor’s,Employed,2,4,4,Low,2,burnout,family time,connected,job insecurity,emotionally supportive,positive influence,social media,alone
2010,57,Non-binary,India,Suburban,0.3581447811958055,0.5116631973579566,25.65621979996076,0.051971284,6.1582444841684785,9.907275251249356,5.2767210257103265,None,4.667940862468779,102478.7856,PhD,Student,8,7,9,High,3,fear of missing out,exercise,overwhelmed by information,job insecurity,unavailable,distraction,irregular schedule,alone
1970,18,Female,India,Rural,0.37864238340409406,0.028589209939715032,21.446310257199414,0.541296335,6.907384984598691,6.340693146773485,0.0,None,0.0,71565.94059,High School,Student,9,7,6,Low,5,loneliness,social media break,comparison with others,deadlines,close-knit,distraction,overthinking,isolated
1973,28,Non-binary,Canada,Suburban,0.41813068297093114,0.06600643312993248,12.483000650790375,0.709060519,7.746167827875256,4.82223150899693,0.0,Sometimes,0.0,66329.36533,High School,Employed,4,8,1,Moderate,5,exhaustion,journaling,overwhelmed by information,high expectations,understanding,connected,irregular schedule,isolated
1952,45,Male,Canada,Rural,0.5466256459432461,0.3837405695128313,9.73703506827033,0.870969124,8.396102613455634,5.082475285668849,0.0,None,0.0,24540.32815,Bachelor’s,Student,8,5,3,Moderate,6,burnout,hobbies,comparison with others,high expectations,distant,validation pressure,screen time,unseen
1971,74,Female,Canada,Urban,0.553490270198824,0.7497463586283942,6.924146105578886,0.714086932,5.298072487730237,7.115326988799018,0.0,Rarely,0.0,49002.91936,Bachelor’s,Student,9,7,2,High,7,burnout,social media break,informed,deadlines,emotionally supportive,comparison,screen time,missing companionship
2002,42,Non-binary,India,Urban,0.4963989216770842,0.913226228134345,19.649873306503174,0.801728083,7.107344983758328,6.1296018532858065,10.21950343576137,None,1.2650958465769515,113100.9971,PhD,Unemployed,10,8,9,Low,7,fear of missing out,talking to friends,comparison with others,high expectations,unavailable,positive influence,irregular schedule,alone
1951,67,Female,United Kingdom,Urban,0.30600097358316747,0.029708305346752617,12.101283937718375,0.339450193,6.533946963118655,8.088132128728757,0.0,None,0.0,59182.39633,PhD,Employed,10,9,1,Moderate,1,anxiety,journaling,connected,high expectations,pressured,validation pressure,overthinking,not understood
1979,40,Male,India,Suburban,0.927206464790831,0.368030052686807,20.762737864770358,0.814825114,4.663782973652406,4.794738058477129,0.0,None,0.0,74670.05206,Bachelor’s,Employed,5,3,9,High,2,loneliness,family time,informed,job insecurity,pressured,information overload,irregular schedule,lonely in a crowd
1987,48,Female,United Kingdom,Urban,0.5885860973492543,0.2237824361164109,6.466411122094288,0.080114846,8.38717854772626,4.755921861113193,0.0,None,0.0,73202.1679,PhD,Employed,7,3,9,Low,9,fear of missing out,family time,connected,high expectations,unavailable,positive influence,overthinking,not understood
1951,47,Female,United Kingdom,Suburban,0.4077392161915949,0.8152052811654619,14.391576625140678,0.894816656,2.7320369789592975,7.713688388716792,0.0,None,0.0,79043.10898,Bachelor’s,Employed,10,4,8,Low,2,loneliness,journaling,supportive community,lack of support,emotionally supportive,positive influence,overthinking,disconnected
2013,59,Female,Canada,Urban,0.6511769607436182,0.8459681446546411,11.51383038424439,0.547592376,2.5041764023963973,6.809668041165965,8.481663592827728,None,7.732299581945987,26133.09556,High School,Employed,4,5,8,Moderate,6,loneliness,family time,isolated,low work-life balance,distant,distraction,noise,disconnected
2009,52,Female,Australia,Urban,0.7679667578098052,0.20640886769189526,14.258351950027826,0.81729777,7.627943930469536,8.002882297482419,4.533804595193786,Daily,4.176566826728164,56217.62548,Bachelor’s,Student,1,10,1,Moderate,1,exhaustion,therapy,comparison with others,long hours,unavailable,comparison,diet,isolated
1970,24,Male,United States,Suburban,0.9607280882282431,0.7108272534348722,6.357085743914677,0.452318285,6.737367823440698,8.984473519706029,0.0,None,0.0,92312.82739,Bachelor’s,Unemployed,3,1,8,Low,3,burnout,journaling,isolated,lack of support,close-knit,comparison,insomnia,unseen
1982,77,Female,Canada,Suburban,0.4995491622675826,0.7317560373014286,23.104535470836165,0.643577695,3.8589441898273327,3.3706526005710127,0.0,None,0.0,40056.02511,Master’s,Employed,5,7,10,Low,2,overwhelmed,social media break,isolated,high expectations,close-knit,negativity,overthinking,disconnected
2007,33,Female,Canada,Urban,0.1120985103507588,0.17705769678257033,7.917433328574331,0.526402661,6.716169140648773,3.835322841374944,10.030625830204963,None,8.052948642886218,40357.83775,Bachelor’s,Unemployed,3,9,3,Moderate,3,exhaustion,journaling,comparison with others,job insecurity,pressured,negativity,social media,alone
1971,43,Non-binary,Australia,Suburban,0.4407658014365413,0.43369591700823573,5.360065658703832,0.731589522,7.93582469572257,5.74255667474624,0.0,None,0.0,21009.06067,Bachelor’s,Unemployed,7,8,7,Low,5,exhaustion,hobbies,informed,deadlines,understanding,negativity,overthinking,not understood
1998,65,Female,United States,Urban,0.4789705614534714,0.6203378054437996,28.657227534733337,0.081629982,2.95269560384805,9.374075117271888,9.18927061782554,None,13.2006932011173,63748.19266,Master’s,Student,9,5,1,Moderate,6,loneliness,family time,supportive community,high expectations,distant,negativity,overthinking,not understood
2008,74,Non-binary,India,Suburban,0.8969940781856739,0.02606660693259888,9.821909559126247,0.060352084,6.232547186243557,8.512191098323889,4.309495518628859,Rarely,10.569852588506265,108273.4381,PhD,Employed,6,4,1,Low,9,lack of motivation,therapy,connected,job insecurity,pressured,information overload,overthinking,isolated
1991,69,Male,India,Rural,0.3948007684629531,0.40459183304588275,25.70153246113652,0.247103234,8.421993104658526,5.216011473316125,6.662446452651463,None,2.2154935389869985,25190.09436,Master’s,Student,10,7,10,Moderate,4,burnout,therapy,overwhelmed by information,low work-life balance,understanding,information overload,noise,missing companionship
2009,77,Male,Canada,Rural,0.9533242648871384,0.15495823294762068,29.11176499392811,0.15954468,4.701146845837664,6.1580699898917866,8.035202968691088,None,14.878815458110857,39111.87095,High School,Employed,1,5,5,High,7,anxiety,talking to friends,connected,high expectations,understanding,positive influence,diet,missing companionship
1964,66,Male,United States,Rural,0.4851319077143348,0.5418965011208873,18.353029989219046,0.871783567,6.145630368147711,7.410791112680557,0.0,None,0.0,51008.45383,Master’s,Student,7,7,5,Moderate,6,exhaustion,social media break,overwhelmed by information,deadlines,critical,connected,noise,lonely in a crowd
2011,19,Male,Canada,Rural,0.9737805009789289,0.8429175834609547,18.15295400118866,0.219213987,1.7068213384522184,5.704120766750956,3.394825983623188,Sometimes,6.970400289845418,93172.47366,High School,Unemployed,3,1,8,Moderate,2,overwhelmed,meditation,connected,job insecurity,close-knit,distraction,screen time,isolated
2011,18,Non-binary,United Kingdom,Rural,0.008198321130962194,0.5247539386260373,14.185431124585241,0.975865256,8.474218548927922,1.8860384883611931,9.62124931283347,Sometimes,12.391457618305337,84063.55928,PhD,Employed,5,1,7,High,8,lack of motivation,meditation,comparison with others,job insecurity,emotionally supportive,distraction,noise,lonely in a crowd
1996,65,Female,Canada,Urban,0.8988153748063467,0.035983596208683966,15.639871619384872,0.336895792,8.1651373199998,4.174631086914992,11.343421704141896,Sometimes,9.240020651686628,61594.39046,Master’s,Unemployed,10,10,8,Low,7,lack of motivation,journaling,supportive community,job insecurity,supportive,negativity,social media,missing companionship
2011,79,Male,Canada,Rural,0.9311204519433507,0.02965724559679117,17.051884923833505,0.182117916,5.106290076969567,1.4285104647281714,3.267398511156815,None,9.438956995658845,95906.89393,Master’s,Unemployed,4,3,6,High,7,anxiety,talking to friends,overwhelmed by information,low work-life balance,emotionally supportive,positive influence,social media,isolated
2000,29,Female,India,Rural,0.9610209357652133,0.6055031459041493,8.80236009301573,0.789698507,2.073235691694139,7.028788206972374,1.7709981991850303,Rarely,14.598231333020816,80963.10117,PhD,Student,10,2,6,Moderate,8,exhaustion,exercise,excessive screen time,high expectations,supportive,validation pressure,noise,isolated
2004,22,Non-binary,India,Rural,0.013076534174614851,0.3279815585256125,14.118418098508979,0.658707776,6.943589056802707,4.034114058764203,11.77946161815018,Rarely,12.215791916770332,109604.08,High School,Employed,5,2,2,Low,1,overwhelmed,journaling,informed,low work-life balance,unavailable,connected,diet,isolated
2013,54,Non-binary,India,Rural,0.171700836550309,0.5726665034718926,25.402711065236133,0.498195716,6.1568210783144295,7.645264244057928,3.8396230457558937,Daily,4.670109896905254,101802.6749,Master’s,Unemployed,5,7,6,High,1,burnout,talking to friends,connected,long hours,close-knit,positive influence,irregular schedule,missing companionship
1952,49,Non-binary,United Kingdom,Suburban,0.6537645030932362,0.1636371089159876,9.55995298953681,0.555363551,9.275319077246234,4.867391477060048,0.0,None,0.0,45281.36061,High School,Student,6,10,5,Low,8,stress,social media break,connected,long hours,understanding,connected,insomnia,lonely in a crowd
2000,76,Male,India,Urban,0.025472691735107134,0.7768623528361118,23.246331173852884,0.719201778,3.518276768237004,1.4102949457528173,4.548134111658607,None,3.4123224165351136,47143.85776,Master’s,Employed,10,2,3,Low,4,overwhelmed,social media break,overwhelmed by information,high expectations,distant,connected,diet,lonely in a crowd
1956,72,Female,United States,Rural,0.06360899617650073,0.8607197057335678,21.289665006704766,0.228454741,1.290938179309976,4.41654432624966,0.0,Rarely,0.0,32535.64758,Bachelor’s,Employed,10,4,6,High,5,anxiety,social media break,informed,low work-life balance,supportive,connected,noise,isolated
1970,26,Female,Australia,Rural,0.22107887369344192,0.8892256020848937,6.432444382066478,0.996333916,3.292656490429679,2.968251031908074,0.0,None,0.0,53696.47257,Master’s,Unemployed,6,2,8,Low,8,lack of motivation,social media break,informed,deadlines,emotionally supportive,positive influence,overthinking,disconnected
2022,58,Female,United States,Rural,0.5124397687438842,0.3040745888313513,5.560721710942011,0.974793162,4.851162814447568,2.9286167571572026,4.981370226407813,None,7.338665912958741,119954.3919,PhD,Employed,8,6,9,High,5,burnout,social media break,comparison with others,job insecurity,understanding,negativity,work stress,unseen
1988,52,Non-binary,United States,Urban,0.5459025592668075,0.6607353676247317,13.813211564458726,0.650325686,2.3989999564467333,4.3984885229521655,0.0,Rarely,0.0,60575.11686,PhD,Unemployed,8,8,1,Moderate,4,overwhelmed,talking to friends,excessive screen time,job insecurity,supportive,distraction,insomnia,missing companionship
1967,36,Male,India,Suburban,0.03426112279350435,0.2790423871302602,22.304256928296027,0.199542451,9.81761449613249,9.804936792983634,0.0,Sometimes,0.0,42048.84347,High School,Employed,9,10,3,Low,6,stress,talking to friends,comparison with others,high expectations,supportive,distraction,insomnia,unseen
